sweep,x_name,x_value,strategy,wasted,total_compute,regen,merge,reselect,gen,commit_rate
B_mergeable,p_mergeable,0.0,OCC,198.0,438.0,198,0,0,240,1.0
B_mergeable,p_mergeable,0.0,CAST,198.0,438.0,198,0,0,240,1.0
B_mergeable,p_mergeable,0.25,OCC,199.0,439.0,199,0,0,240,1.0
B_mergeable,p_mergeable,0.25,CAST,143.95,383.95,143,95,0,240,1.0
B_mergeable,p_mergeable,0.5,OCC,199.0,439.0,199,0,0,240,1.0
B_mergeable,p_mergeable,0.5,CAST,119.59,359.59,118,159,0,240,1.0
B_mergeable,p_mergeable,0.75,OCC,199.0,439.0,199,0,0,240,1.0
B_mergeable,p_mergeable,0.75,CAST,4.39,244.39,0,439,0,240,1.0
B_mergeable,p_mergeable,1.0,OCC,199.0,439.0,199,0,0,240,1.0
B_mergeable,p_mergeable,1.0,CAST,4.39,244.39,0,439,0,240,1.0
