batch_size,strategy,wasted_per_task,mean_latency,throughput,makespan
1,OCC,0.0,1.0,1.0,40.0
1,MVCC,0.0,1.0,1.0,40.0
1,2PL,0.0,1.0,1.0,40.0
1,CAST,0.0,1.0,1.0,40.0
2,OCC,0.0886,1.0875,1.6809,47.0
2,MVCC,0.0886,1.0875,1.6809,47.0
2,2PL,0.0,1.0875,1.7021,47.0
2,CAST,0.0134,1.0132,1.924,41.06
4,OCC,0.2785,1.275,1.881,84.0
4,MVCC,0.2785,1.275,1.881,84.0
4,2PL,0.0,1.3125,2.0513,78.0
4,CAST,0.0154,1.0151,3.7247,42.42
8,OCC,0.4434,1.4406,1.7569,181.0
8,MVCC,0.4434,1.4406,1.7569,181.0
8,2PL,0.0,1.6313,2.6891,119.0
8,CAST,0.0111,1.0106,7.3289,43.39
16,OCC,0.6735,1.6641,1.357,465.0
16,MVCC,0.6735,1.6641,1.357,465.0
16,2PL,0.0,2.3844,3.0189,212.0
16,CAST,0.0225,1.0206,11.8698,53.16
