profile,strategy,current_throughput,official_throughput,ratio,delta_pct,current_commit_rate,official_commit_rate,current_attempts_per_task,official_attempts_per_task
tpcc-high,adaptive-op-strict,11.372843169127828,14.726042366299215,0.7722946115620829,-22.77053884379171,1.0,1.0,1.0,1.0
tpcc-high,transaction-atcc-strict,41.88301805007195,40.60863787879382,1.0313819974726022,3.1381997472602174,1.0,1.0,1.0,1.0166666666666666
tpcc-low,adaptive-op-strict,4.027650269390671,3.8849398086520535,1.0367342784618672,3.6734278461867165,1.0,1.0,1.0,1.0
tpcc-low,transaction-atcc-strict,3.707892952801942,4.13436970438662,0.8968460050555759,-10.315399494442412,1.0,1.0,1.0166666666666666,1.0166666666666666
tpcc-medium,adaptive-op-strict,28.986180089833066,26.010958934617264,1.114383370589854,11.438337058985404,1.0,1.0,1.0,1.0166666666666666
tpcc-medium,transaction-atcc-strict,25.454920518143272,23.24243368980459,1.0951917022918818,9.519170229188179,1.0,1.0,1.0666666666666667,1.1
ycsb-high,adaptive-op-strict,50.473294942632215,51.50589347387173,0.9799518373220079,-2.0048162677992143,1.0,1.0,1.0,1.0
ycsb-high,transaction-atcc-strict,51.392983652222576,50.49987103763761,1.0176854434721097,1.7685443472109652,1.0,1.0,1.0,1.0
ycsb-low,adaptive-op-strict,26.1925119005645,26.14694848961025,1.0017425899994548,0.17425899994547578,1.0,1.0,1.0,1.0333333333333334
ycsb-low,transaction-atcc-strict,25.878452814775358,24.012330139427963,1.0777151848451076,7.771518484510764,1.0,1.0,1.0,1.05
ycsb-medium,adaptive-op-strict,34.65587589431402,35.26082717416539,0.9828435312403958,-1.7156468759604193,1.0,1.0,1.0,1.0
ycsb-medium,transaction-atcc-strict,35.269369296596885,36.3987886813144,0.9689709623414663,-3.102903765853371,1.0,1.0,1.0,1.0
